solution,cache,timing
vcf2db,cold,8.408360678
vcf2db,cold,8.937944717
vcf2db,cold,8.158915437
vcf2db,warm,7.835120478
vcf2db,warm,7.819941481
vcf2db,warm,8.012222272
cutevariant,cold,2.174057318
cutevariant,cold,1.953384702
cutevariant,cold,2.085162416
cutevariant,warm,1.926465459
cutevariant,warm,1.921055517
cutevariant,warm,1.983065903
VCFdbR-table,cold,73.254914122
VCFdbR-table,cold,73.463873704
VCFdbR-table,cold,73.414612356
VCFdbR-table,warm,3.572005790
VCFdbR-table,warm,3.719976302
VCFdbR-table,warm,3.650373085
VCFdbR-file,cold,27.992012670
VCFdbR-file,cold,27.776863840
VCFdbR-file,cold,27.626573549
VCFdbR-file,warm,11.999489020
VCFdbR-file,warm,11.569212974
VCFdbR-file,warm,12.116914505
vcf-miner,cold,11.366609363
vcf-miner,cold,11.520532483
vcf-miner,cold,11.340839052
vcf-miner,warm,3.753329748
vcf-miner,warm,2.582235021
vcf-miner,warm,2.818848830