solution,sample_percentage,cache,timing
vcf2db,100,cold,0.212622608
vcf2db,100,cold,0.200426326
vcf2db,100,cold,0.197100378
vcf2db,100,warm,0.108798166
vcf2db,100,warm,0.106587795
vcf2db,100,warm,0.100461039
vcf2db,50,cold,0.194317790 
vcf2db,50,cold,0.191923088 
vcf2db,50,cold,0.195460123 
vcf2db,50,warm,0.108125043 
vcf2db,50,warm,0.107979793 
vcf2db,50,warm,0.103299458
vcf2db,10,cold,0.200342155 
vcf2db,10,cold,0.201515958 
vcf2db,10,cold,0.195143705 
vcf2db,10,warm,0.112089715
vcf2db,10,warm,0.108867711
vcf2db,10,warm,0.101526198
vcf2db,1,cold,0.201776934 
vcf2db,1,cold,0.185374376  
vcf2db,1,cold,0.200593205 
vcf2db,1,warm,0.110157450
vcf2db,1,warm,0.107365163
vcf2db,1,warm,0.110045381
cutevariant,100,cold,653.921703163
cutevariant,100,cold,654.193820437
cutevariant,100,cold,654.373418838
cutevariant,100,warm,11.186360772 
cutevariant,100,warm,10.971874547
cutevariant,100,warm,10.992689427
cutevariant,50,cold,489.561393987
cutevariant,50,cold,486.324593374
cutevariant,50,cold,488.254019872
cutevariant,50,warm,11.433057136
cutevariant,50,warm,11.702777325
cutevariant,50,warm,11.427686200
cutevariant,10,cold,108.200866648
cutevariant,10,cold,108.234429740
cutevariant,10,cold,109.023391240
cutevariant,10,warm,11.793001980
cutevariant,10,warm,11.463878991
cutevariant,10,warm,11.543133532
cutevariant,1,cold,29.748944033
cutevariant,1,cold,30.595122392
cutevariant,1,cold,30.876152641
cutevariant,1,warm,12.747108420
cutevariant,1,warm,12.802222880
cutevariant,1,warm,12.765016298
VCFdbR-table,100,cold,17.245663249
VCFdbR-table,100,cold,17.740471419
VCFdbR-table,100,cold,17.643890983
VCFdbR-table,100,warm,0.459811068
VCFdbR-table,100,warm,0.455195415
VCFdbR-table,100,warm,0.464696749
VCFdbR-table,50,cold,17.279898034
VCFdbR-table,50,cold,17.451189041
VCFdbR-table,50,cold,17.418279206
VCFdbR-table,50,warm,.401437570
VCFdbR-table,50,warm,.397000066
VCFdbR-table,50,warm,.392256833
VCFdbR-table,10,cold,16.294445269
VCFdbR-table,10,cold,16.261449680
VCFdbR-table,10,cold,16.317904513
VCFdbR-table,10,warm,.383551743
VCFdbR-table,10,warm,.341431574
VCFdbR-table,10,warm,.345417692
VCFdbR-table,1,cold,14.598829746
VCFdbR-table,1,cold,14.567088895
VCFdbR-table,1,cold,14.681241555
VCFdbR-table,1,warm,.471123341
VCFdbR-table,1,warm,.452962093
VCFdbR-table,1,warm,.448550740
VCFdbR-file,100,cold,14.202802017
VCFdbR-file,100,cold,14.187662807
VCFdbR-file,100,cold,14.216316895
VCFdbR-file,100,warm,0.405571288
VCFdbR-file,100,warm,0.395676686
VCFdbR-file,100,warm,0.392733952
VCFdbR-file,50,cold,14.271955620
VCFdbR-file,50,cold,14.090683292
VCFdbR-file,50,cold,14.119568781
VCFdbR-file,50,warm,.386914197
VCFdbR-file,50,warm,.390075890
VCFdbR-file,50,warm,.392341494
VCFdbR-file,10,cold,14.160923423
VCFdbR-file,10,cold,13.586146798
VCFdbR-file,10,cold,14.138736271
VCFdbR-file,10,warm,.388205121
VCFdbR-file,10,warm,.386904507
VCFdbR-file,10,warm,.388829454
VCFdbR-file,1,cold,13.990336151
VCFdbR-file,1,cold,13.942830760
VCFdbR-file,1,cold,14.029381323
VCFdbR-file,1,warm,.366446394
VCFdbR-file,1,warm,.379757631
VCFdbR-file,1,warm,.393884264
vcf-miner,100,cold,1166.866314884
vcf-miner,100,cold,1157.971743078
vcf-miner,100,cold,1157.846345343
vcf-miner,100,warm,573.557418555
vcf-miner,100,warm,527.058139046
vcf-miner,100,warm,535.114892391
vcf-miner,50,cold,822.951667239
vcf-miner,50,cold,814.154341515
vcf-miner,50,cold,819.779083816
vcf-miner,50,warm,502.768510140
vcf-miner,50,warm,503.218587604
vcf-miner,50,warm,506.726494017
vcf-miner,10,cold,556.900051921
vcf-miner,10,cold,558.221776246
vcf-miner,10,cold,558.404013885
vcf-miner,10,warm,437.535648928
vcf-miner,10,warm,438.051728568
vcf-miner,10,warm,437.363934334
vcf-miner,1,cold,516.918158055
vcf-miner,1,cold,516.275678344
vcf-miner,1,cold,515.795412544
vcf-miner,1,warm,430.809075847
vcf-miner,1,warm,430.237613684
vcf-miner,1,warm,431.574278565